 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
0 246.0 -6792.449270778808 -6935.723952737326 -6933.0864468916 -6903.64919944396 -93435.56683487498 -102260.37082199703 -105200.47458415921 -130802.94499432386 -7271.827134111779 -7194.065415151766 -7283.494744717449 -7105.2619344308305 -37434.25457885916 -75686.02421117119 -32437.387995408535 -82066.91081129442 0.23600000000000002 0.913 0.305 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2992113 0.0
1 248.0 -6753.62429065994 -6912.1428623369775 -6921.508243263751 -6882.996187567257 -93431.67763133976 -102263.72358366533 -105278.77274498616 -130775.00531375472 -7000.946343057913 -6997.48182266734 -7180.900237667589 -6785.207305575288 -36989.16429152063 -75464.87605153037 -31870.480700788583 -81615.71849771959 0.23600000000000002 0.913 0.305 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2994175 0.0
2 250.0 -6827.697971784827 -6943.167083640944 -6938.070885905134 -6902.688074432383 -93435.38802091933 -102249.8878538475 -105183.91194151783 -130791.81382558511 -7257.119686260186 -7177.27925506583 -7273.861142857211 -7083.200762653442 -37409.64530821387 -75676.45766454432 -32425.47451561386 -82055.48906987776 0.23600000000000002 0.913 0.305 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2994387 0.0
3 252.0 -6723.225918200722 -6907.896030890469 -6919.407179284952 -6886.863039358025 -93434.53865463003 -102276.2405605603 -105295.49184983873 -130788.86339531702 -7020.370008989574 -7017.821910121669 -7192.903124440089 -6812.431730321852 -37020.74730643598 -75478.57767088148 -31891.245471387563 -81634.53866655096 0.23600000000000002 0.913 0.305 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2994573 0.0
4 254.0 -6861.270291956698 -6950.431400588918 -6943.569415041139 -6901.972818609813 -93435.99151801963 -102241.01421129874 -105171.64083381186 -130780.95087777983 -7235.19262494953 -7156.22391178893 -7262.953491563022 -7052.578872749672 -37372.31789497351 -75661.32553354806 -32395.523178043746 -82030.25395038772 0.238 0.9155 0.3045 192.0 3.5 64.0 14.0 88.0 4.5 64.0 0.0 0.0 0.0 1713409352.2994757 0.0
5 0.0 -6697.0743771880125 -6905.1020628335555 -6917.976667639812 -6891.109870804534 -93437.3549744314 -102287.52819151022 -105308.2546959227 -130802.49795943475 -7047.370916291585 -7043.0123261228 -7207.498813569405 -6848.149817961433 -37064.400263357194 -75498.73894438017 -31929.377547428317 -81666.90399252225 0.238 0.9155 0.3045 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2994936 0.0
6 2.0 -6889.813469626126 -6956.153447169477 -6948.062115676656 -6900.855231387047 -93436.59501511992 -102233.32521120612 -105163.72831627469 -130770.51261311921 -7206.872964724656 -7131.41347544354 -7250.704735601514 -7015.027942064756 -37324.14988567232 -75640.82898388254 -32349.433880976903 -81992.47950225824 0.238 0.9155 0.3045 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2995129 0.0
7 4.0 -6674.1191356324125 -6900.765824409226 -6914.445092015874 -6892.69684466086 -93436.93029128674 -102294.01019740227 -105313.08267272505 -130811.95274733935 -7079.088041673665 -7070.706137502925 -7222.697999799014 -6889.209972525832 -37116.88215933826 -75522.9235318808 -31981.747684687103 -81709.99815583207 0.238 0.9155 0.3045 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2995367 0.0
8 6.0 -6907.896030890469 -6956.734592525315 -6948.352688354575 -6896.027254584701 -93433.91280578528 -102224.4292169129 -105157.78275224958 -130757.99563622424 -7169.009109617366 -7099.361073894629 -7232.376305148162 -6967.7316507973255 -37263.1966785427 -75610.96705329025 -32284.993801712255 -81939.41646092135 0.238 0.9155 0.3045 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.299558 0.0
9 8.0 -6659.478743014186 -6899.2906092751755 -6912.992228626279 -6895.289647017676 -93437.55614013149 -102299.39696781599 -105313.93203901435 -130820.91579686593 -7114.224983957409 -7099.428129127995 -7237.76307556189 -6933.354667825064 -37175.30961934443 -75550.17030837183 -32045.427804640272 -81761.63068552384 0.238 0.9157500000000001 0.30325 192.0 3.5 56.0 14.0 80.0 4.5 56.0 0.0 0.0 0.0 1713409352.2995763 0.0
10 10.0 -6918.222536828821 -6956.153447169477 -6948.0397639322 -6891.98158883829 -93432.16936971777 -102218.84128079907 -105158.16273190532 -130748.54084831964 -7131.525234165816 -7069.834419469169 -7216.528918329349 -6921.597650241572 -37201.68467780169 -75581.50745409816 -32214.652861911403 -81882.64303000487 0.238 0.9157500000000001 0.30325 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2995949 0.0
11 12.0 -6653.823751666993 -6900.564658709128 -6913.595725726572 -6898.865926130525 -93438.87489305437 -102303.04030216222 -105310.60162909051 -130828.71655568083 -7150.032478574811 -7127.188995741487 -7251.755267590913 -6977.454659635385 -37235.30170146247 -75578.44526510779 -32115.70168920776 -81818.09119201794 0.238 0.9157500000000001 0.30325 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.299613 0.0
12 14.0 -6919.60834498505 -6954.2311971463205 -6947.391563342997 -6888.852344614547 -93431.38705866183 -102217.12019647601 -105164.95766221973 -130742.55058080562 -7095.717739548414 -7043.168788333987 -7203.117871656164 -6878.279969487187 -37141.9161131282 -75552.96427642874 -32141.629712775914 -81824.57319790998 0.238 0.9157500000000001 0.30325 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.299631 0.0
13 16.0 -6656.550664490541 -6903.202164554855 -6914.825071671614 -6901.525783720706 -93439.47839015465 -102303.44263356242 -105301.72798654175 -130833.20925631635 -7186.309359825774 -7153.854626876668 -7265.747459619935 -7020.705285156404 -37294.8020452025 -75607.90486429988 -32190.46827441076 -81877.77034971361 0.238 0.9157500000000001 0.30325 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2996492 0.0
14 18.0 -6909.728873935804 -6948.799723243681 -6943.681173763415 -6884.4937544457625 -93429.19658770521 -102216.78492030919 -105175.1724094358 -130738.12493540347 -7061.117239131599 -7018.4477589664175 -7189.997397660899 -6837.912719000902 -37085.500310123 -75524.48815399267 -32068.45010142924 -81766.43631058173 0.23800000000000002 0.916 0.3 192.0 3.5 56.0 14.0 80.0 4.5 48.0 0.0 0.0 0.0 1713409352.2996736 0.0
15 20.0 -6665.9607489062255 -6905.45969074484 -6915.093292605078 -6901.861059887536 -93437.91376804278 -102299.06169164917 -105286.48409682323 -130832.60575921605 -7216.797139262812 -7174.060603864265 -7274.911674846611 -7056.289262329253 -37346.25576093862 -75632.82705936756 -32260.697455489335 -81932.50977188465 0.23800000000000002 0.916 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2997053 0.0
16 22.0 -6894.55203945065 -6945.402258086474 -6942.6082900295605 -6884.225533512299 -93431.09648598392 -102223.06576050112 -105193.23261895569 -130740.71773776028 -7032.372895762074 -6999.6052383905935 -7180.475554522938 -6805.480337796252 -37038.36048106676 -75500.3706217254 -32002.221882608163 -81714.2896907675 0.23800000000000002 0.916 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2997324 0.0
17 24.0 -6687.910161961337 -6913.707484448849 -6920.792987441181 -6906.152594822955 -93440.39481167732 -102296.40183405898 -105272.22368386075 -130833.4327737609 -7246.122627988176 -7193.216048862464 -7285.506401718427 -7088.609884811626 -37392.9262033613 -75658.24099281324 -32328.087965022085 -81985.52810973265 0.23800000000000002 0.916 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2997506 0.0
18 26.0 -6871.060356028123 -6940.060191161656 -6940.239005117298 -6884.3819957234855 -93432.59405286242 -102231.60412688304 -105213.75152036567 -130746.23861864074 -7012.43513970794 -6988.854049307591 -7176.184019587519 -6784.290884052621 -37004.51993996143 -75483.04801977254 -31948.018902304044 -81672.49192863607 0.23800000000000002 0.916 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2997684 0.0
19 28.0 -6712.295915162077 -6918.803682184659 -6923.341086309086 -6905.549097722662 -93438.51726514308 -102287.21526708786 -105251.48126500622 -130827.1295818245 -7266.10508753122 -7203.766072245368 -7290.759061665423 -7109.039379243777 -37425.000956654665 -75676.14474012193 -32381.709799970366 -82026.92354046387 0.23600000000000002 0.908 0.3 192.0 3.5 48.0 14.0 48.0 4.5 48.0 0.0 0.0 0.0 1713409352.2997894 0.0
20 30.0 -6834.291736399143 -6926.358571810552 -6929.420760800929 -6877.318844475609 -93426.49202662612 -102234.21928098433 -105227.76606413914 -130746.66330178539 -6994.017302276767 -6978.438136391418 -7168.942054384 -6766.744764655205 -36977.67549487061 -75465.23367944166 -31900.767314525525 -81635.29862586244 0.23600000000000002 0.908 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.299827 0.0
21 32.0 -6740.816741087048 -6923.2963828201755 -6924.972763654324 -6903.090405832578 -93435.41037266378 -102275.14532508199 -105228.36956123944 -130816.95953809733 -7272.005948067421 -7201.687360011025 -7286.802802896835 -7112.973286267911 -37437.07089866053 -75682.13500763595 -32414.4998090863 -82050.30346516412 0.23600000000000002 0.908 0.3 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1713409352.2998433 0.0
