 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
0 0.0 -91603.1708244289 -91606.3224203971 -91712.26968911526 -91685.44759576888 -91702.3008110882 -91656.16681053244 -91731.89452074701 -88385.03371298716 93749.98882412778 93749.98882412778 -86981.0312367715 -86979.89129780428 -87000.3878474698 -86992.05064678796 -87026.9864233716 -86981.79119608298 0.212 0.908 0.268 192.0 3.0 80.0 14.0 48.0 4.0 48.0 0.0 0.0 0.0 1699129662.2626092 0.0
1 2.0 -183228.73809680203 -183235.17539920515 -183446.98052966365 -183393.26928773752 -183427.13218058733 -183334.75242075353 -183485.62669582685 -176699.59237570674 187500.0 50978.584704230394 -183319.016792657 -183317.25100484505 -183362.73680481157 -183345.59301681435 -183416.80567464896 -183335.2218073871 0.212 0.908 0.268 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2627845 0.0
2 4.0 -183253.7049953586 -183259.98583555053 -183471.5003933311 -183417.83385489392 -183451.96496867717 -183359.65226407675 -183505.07271350297 -176502.2041204219 187500.0 50445.07091582667 -183345.9729964701 -183344.1848569137 -183389.67065688022 -183372.50451713856 -183443.73952671763 -183362.20036294466 0.212 0.908 0.268 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2628598 0.0
3 6.0 -183280.28121951595 -183286.49500447453 -183498.36719016638 -183444.58889300693 -183478.6082480679 -183386.2284882341 -183534.822885373 -176411.03135478872 187500.0 49947.02934587352 -183372.59392411637 -183370.73872932658 -183416.2021775487 -183399.05838955147 -183470.315750875 -183388.6871801242 0.212 0.909 0.269 192.0 3.0 80.0 14.0 56.0 4.0 56.0 0.0 0.0 0.0 1699129662.2628884 0.0
4 8.0 -183303.34821979384 -183309.69611521915 -183521.50124567765 -183467.7453002626 -183501.67524834577 -183409.20608153418 -183559.11923159592 -176305.7546384042 187500.0 49436.604909492125 -183396.10795928337 -183394.27511623802 -183439.71621271566 -183422.70653518516 -183493.82978604196 -183412.15651180228 0.212 0.909 0.269 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.262951 0.0
5 10.0 -183329.76798174 -183336.0711736764 -183547.89865587934 -183494.05330348652 -183528.09501029196 -183435.62584348035 -183584.95784818626 -176751.1802019096 187500.0 48958.74696478212 -183421.61129970686 -183419.800808406 -183465.33131186143 -183448.18752386424 -183519.37782995438 -183437.63750048133 0.212 0.909 0.269 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2629805 0.0
6 12.0 -183357.01475823103 -183363.36265365634 -183575.2795428371 -183521.4565421887 -183555.45354550524 -183462.8502682269 -183613.65748806688 -177070.83249936491 187500.0 48474.42936592452 -183448.2992825865 -183446.46643954117 -183491.99694299663 -183474.83080325494 -183546.06581283401 -183464.41489033878 0.212 0.909 0.269 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2630084 0.0
7 14.0 -183382.54045039898 -183389.04480803548 -183600.9840489607 -183547.13869656788 -183581.09099639548 -183488.48771911714 -183640.27841571314 -177219.20337905924 187500.0 47970.37517671289 -183474.4508235992 -183472.5062218316 -183518.10378052044 -183500.89293728984 -183572.12794686892 -183490.4099691403 0.212 0.909 0.269 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2630365 0.0
8 16.0 -183409.18372978971 -183415.5986804484 -183627.53792137362 -183573.67021723633 -183607.60016531948 -183515.0639432745 -183666.78758463712 -176975.61406798533 187500.0 47470.36665324768 -183500.55766112302 -183498.8142250555 -183544.3223767665 -183527.17858876928 -183598.25713613717 -183516.69562061975 0.213 0.9105000000000001 0.2675 192.0 3.0 88.0 14.0 64.0 4.0 40.0 0.0 0.0 0.0 1699129662.263064 0.0
9 18.0 -183436.87754116984 -183443.18073310624 -183655.1423257759 -183601.341676872 -183635.20456972177 -183542.71305116572 -183694.43669252834 -176990.0756466479 187500.0 46951.9849958402 -183527.80443761402 -183526.12805677988 -183571.70326372425 -183554.53712398256 -183625.61567135045 -183543.96474885521 0.213 0.9105000000000001 0.2675 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2630913 0.0
10 20.0 -183462.26912287108 -183468.61701829638 -183680.37744526594 -183626.48738938422 -183660.70791014528 -183568.14933635585 -183715.42498057187 -176754.44355660005 187500.0 46464.202876592026 -183554.2241995602 -183552.4360600038 -183598.0336186926 -183580.86747895094 -183651.9907298077 -183570.31745556803 0.213 0.9105000000000001 0.2675 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2631192 0.0
11 22.0 -183492.01929474107 -183498.36719016638 -183710.19467236934 -183656.37167172096 -183690.43573027084 -183597.89950822588 -183746.40449838692 -176748.85562048623 187500.0 45935.22649231273 -183582.20858361825 -183580.331037084 -183625.9509475173 -183608.85186300898 -183679.97511386577 -183598.21243264826 0.213 0.9105000000000001 0.2675 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2631469 0.0
12 24.0 -183516.6062136419 -183523.04351604506 -183734.84864650352 -183681.02564585514 -183715.04500091614 -183622.50877887115 -183772.04194927716 -176456.31598905518 187500.0 45456.49682956896 -183609.52241534262 -183607.66722055283 -183653.37653796395 -183636.18804647782 -183707.28894559015 -183625.593319606 0.213 0.9105000000000001 0.2675 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2631743 0.0
13 26.0 -183541.10372556493 -183547.5186762236 -183759.34615842655 -183705.67961998936 -183739.5648645836 -183647.11804951646 -183797.00884783376 -176874.96416270308 187500.0 44947.74877402172 -183633.43878190982 -183631.71769758675 -183677.29290453112 -183660.1491165339 -183731.25001564625 -183649.4426309398 0.2135 0.9112500000000001 0.26975000000000005 192.0 3.0 88.0 14.0 64.0 4.0 64.0 0.0 0.0 0.0 1699129662.263203 0.0
14 28.0 -183563.76839444262 -183570.22804859022 -183782.21199300434 -183728.34428886705 -183762.1848299724 -183669.67095967187 -183821.2828423122 -177167.74966332313 187500.0 44497.09290231382 -183657.66807289937 -183655.87993334295 -183701.63395424295 -183684.5125179902 -183755.5687136136 -183673.7613289072 0.2135 0.9112500000000001 0.26975000000000005 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.26323 0.0
15 30.0 -183593.40680759036 -183599.7770547601 -183811.87275789652 -183757.9827020148 -183791.91265009795 -183699.33172456405 -183851.23417988233 -177173.31524769252 187500.0 43956.337148706574 -183681.9644191223 -183680.1986313103 -183725.9079487214 -183708.76416072418 -183779.86505983653 -183698.0576751301 0.2135 0.9112500000000001 0.26975000000000005 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2632565 0.0
16 32.0 -183619.06661022504 -183625.36980216144 -183837.2419878533 -183783.5307459272 -183817.46069401034 -183724.857416732 -183874.5470493492 -176995.30595485045 187500.0 43486.637590722756 -183712.02751541467 -183710.10526539152 -183755.9263415249 -183738.78255352768 -183809.90580438447 -183728.07606793358 0.2135 0.9112500000000001 0.26975000000000005 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2632935 0.0
17 34.0 -183646.96158730527 -183653.35418621948 -183865.06990970016 -183811.40337126298 -183845.33331934613 -183752.84180079005 -183901.63736362904 -176938.2195995116 187500.0 42949.92750286192 -183737.35204188252 -183735.54155058166 -183781.25086799276 -183764.10707999553 -183835.18562736342 -183753.378242657 0.2135 0.9112500000000001 0.26975000000000005 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.263321 0.0
18 36.0 -183671.7943753951 -183678.0975673315 -183889.9474012789 -183836.21380760835 -183870.23316266932 -183777.62988539098 -183926.85013137464 -176687.32126800076 187500.0 42479.55739254444 -183764.71057709583 -183762.96714102832 -183808.69881018388 -183791.5326704422 -183862.56651432117 -183780.84853659256 0.21475 0.9116250000000001 0.26787500000000003 192.0 3.0 96.0 14.0 64.0 4.0 40.0 0.0 0.0 0.0 1699129662.263348 0.0
19 38.0 -183694.92843090635 -183701.32102982057 -183913.21556725688 -183859.45962184187 -183893.5013286473 -183800.8309961356 -183950.85590491962 -176884.28484014093 187500.0 41954.87254320056 -183788.20226051836 -183786.39176921747 -183832.25754883976 -183815.11376084253 -183886.0134942548 -183804.31786827062 0.21475 0.9116250000000001 0.26787500000000003 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2633753 0.0
20 40.0 -183719.67181201838 -183726.1091144215 -183938.0707070912 -183884.22535469834 -183918.20000627043 -183825.57437724763 -183977.02979767678 -177319.98739480824 187500.0 41515.48195069814 -183811.15750207397 -183809.4364177509 -183855.23514213983 -183838.11370588705 -183908.96873581037 -183827.36251680405 0.21475 0.9116250000000001 0.26787500000000003 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.263403 0.0
21 42.0 -183747.3656233985 -183753.7358705683 -183965.85392544913 -183911.94151782294 -183945.916169395 -183853.13407816103 -184005.2376991794 -177275.9991617202 187500.0 40989.0760170312 -183837.51020878676 -183835.7891244637 -183881.47609013037 -183864.4440608554 -183935.410849501 -183853.71522351686 0.21475 0.9116250000000001 0.26787500000000003 192.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1699129662.2634308 0.0
