ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
-6673.515638532119,-6695.777976009605,-6765.805991388082,-6724.499967634674,-93475.5094022166,-90244.67649992424,-72330.93796145177,-106104.58029563192,-6959.975595471335,-7032.48465448435,-6725.349333923976,-6916.0320658722,-94030.32440308624,-95192.19043161755,-45403.27732602088,-50031.8095125925
-6677.2260281117,-7092.946123235956,-6750.807970858571,-6903.313923277131,-93164.90956126567,-90461.37666241845,-72280.9594608497,-106390.61556942649,-6809.078968653556,-6795.913791169381,-7323.705532992546,-6788.381253287942,-93682.86653552849,-94722.73674282274,-44783.73167320868,-49982.23334339063
-6653.466123755708,-6750.316232480554,-6768.95758735628,-6757.200569772789,-93428.16840746027,-90275.29838982802,-72325.21591487121,-106151.49660724362,-6982.930837026935,-7040.352468532618,-6664.284368072077,-6923.251679331265,-94051.33504287423,-95245.52169388792,-45453.4793440675,-50026.98153579015
-6692.291103874577,-7028.0143055932895,-6743.744819610694,-6863.371355935497,-93213.61401243377,-90423.64691777789,-72284.62514694038,-106335.56322283307,-6783.687386952328,-6786.704872453794,-7367.783173058412,-6777.317139782565,-93662.83937249654,-94672.22180035374,-44739.76579186509,-49981.87571547934
-6637.909309614815,-6818.2878873691425,-6774.187895558822,-6796.986674903235,-93375.75356671258,-90314.39159088035,-72320.63380725787,-106208.31474164901,-7003.047407036711,-7043.459361011906,-6629.706219399717,-6928.973725911824,-94063.0026534799,-95283.83258388432,-45483.60949559325,-50024.18756773324
-6705.724502292216,-6954.857045991069,-6737.441627674298,-6820.4560065813075,-93268.53224856047,-90381.49152773518,-72289.31901327599,-106275.39232675938,-6766.342433255009,-6786.883686409436,-7387.631522134724,-6772.533866469129,-93657.02791893815,-94642.9857186062,-44721.66087885629,-49984.15559341379
-6627.269879254089,-6895.155536550944,-6781.049881106602,-6841.0643149691,-93321.66234513072,-90359.25154200215,-72317.95159792324,-106271.25725403515,-7016.838433365636,-7039.413695265495,-6622.64306815184,-6931.812397457647,-94062.55561859079,-95302.58569748231,-45489.465652640545,-50022.53353864355
-6719.224955943222,-6881.163344521921,-6735.2288049732215,-6780.312273539576,-93328.4796271896,-90340.49842840416,-72297.67856570227,-106216.49548011964,-6759.592206429506,-6798.216020848277,-7384.099946510786,-6775.3725380149535,-93667.46618359878,-94638.20244529277,-44731.83092258345,-49990.25761965008
-6618.731512872161,-6971.956130499379,-6785.430823019841,-6882.996187567257,-93265.49241131454,-90403.2397750902,-72313.30243507653,-106332.5010338427,-7022.560479946194,-7027.679029426459,-6642.469065483698,-6929.733685223304,-94049.03281319533,-95299.1882323251,-45469.77376577542,-50019.98543977564
-6726.4222176578305,-6806.083834896545,-6731.697229349284,-6740.034430031113,-93384.2472296056,-90298.05246568352,-72303.53472274957,-106157.57628173546,-6760.4639244632635,-6816.455044323808,-7353.45570486256,-6782.458041007286,-93689.97439026528,-94655.05566061207,-44766.52082997809,-49996.13612844183
-6612.942411058237,-7043.995802878833,-6787.1519073429,-6919.98832464079,-93211.58000368834,-90443.58467383203,-72307.46862977369,-106388.11217404749,-7016.704322898904,-7005.796671604714,-6684.825621226504,-6919.787158940692,-94020.24376633689,-95270.75681337796,-45422.768047185906,-50013.74930307261
-6731.384304926909,-6739.43093293082,-6731.540767138096,-6706.730330792705,-93436.70677384219,-90261.44030826572,-72311.24607458664,-106107.30720845547,-6770.678671679339,-6842.003088236223,-7299.766814680912,-6794.81855569107,-93724.91016684893,-94693.83593724202,-44824.6800690508,-50003.355741900894
-6608.919097056281,-7104.144347208065,-6784.447346263808,-6947.503322065273,-93161.82502053083,-90475.65942712539,-72298.99731862513,-106432.34627632455,-7002.354502958597,-6977.678177079938,-6749.623328402439,-6905.660856444938,-93980.77058562882,-95221.69473429857,-45354.08113647475,-50007.691980325224
-6729.417351414842,-6681.517563047119,-6730.445531659786,-6678.656539756839,-93477.8116318955,-90229.23144450563,-72315.89523743335,-106064.72713526811,-6786.101375353501,-6869.540437405162,-7223.122682943665,-6808.028436664157,-93765.92561792441,-94748.55300766863,-44899.33489553152,-50007.64727683631
-6611.243678479634,-7152.915853609545,-6781.67572995135,-6967.910464752968,-93124.18468286809,-90500.78278789316,-72293.02940285557,-106466.16446568543,-6979.019281747256,-6944.217615630343,-6830.44723635283,-6886.281894002187,-93931.66380306051,-95153.99130034343,-45267.3340162437,-49999.91357325477
-6724.0752844900235,-6640.591518949452,-6732.90422354987,-6662.406821537831,-93508.61233575492,-90208.57843262893,-72321.46082180271,-106037.65917273273,-6811.11297739899,-6902.643370943471,-7134.341553967185,-6826.692143284338,-93816.01587724876,-94820.63738353699,-44990.57471639809,-50013.95046877271
-6620.743169873139,-7188.142202871109,-6781.0722328510565,-6981.679139337438,-93102.86111865773,-90520.18410208037,-72291.55418772151,-106489.27616945222,-6952.755982012271,-6912.366379781531,-6926.000943899267,-6868.512257160218,-93881.81941292518,-95078.19653489548,-45173.523744764774,-49995.71144529718
-6718.66616233184,-6620.854928595416,-6740.1908922423,-6659.545798247552,-93529.42180984281,-90200.86708079185,-72329.1274701509,-106028.29379180596,-6844.931166759869,-6939.836673717103,-7040.82185516618,-6849.692088328849,-93872.09640408712,-94905.12697757805,-45092.45396762538,-50022.84646306592
-6629.996792077636,-7200.659179766081,-6775.529000226141,-6981.276807937242,-93092.48990923047,-90525.83909342755,-72287.77674290857,-106493.70181485437,-6921.955278152857,-6880.64925439945,-7026.270869525775,-6850.1167714735,-93830.58921463361,-94995.24921122185,-45075.0866621836,-49992.98453247363
-6706.685627303795,-6617.211594249201,-6745.197683000289,-6664.105554116435,-93531.8805017329,-90200.30828718047,-72331.96614169671,-106031.24422207406,-6878.324672976098,-6971.777316543737,-6941.4907028067955,-6868.825181582592,-93923.84069250115,-94990.13066174158,-45192.053340918224,-50026.33333520095
-6643.452542239731,-7194.490098296416,-6770.231636790233,-6971.464392121362,-93098.68134244459,-90521.92753814788,-72286.90502487481,-106483.50941938275,-6887.712405647327,-6849.647384839939,-7123.83623407319,-6830.246070652732,-93780.11897565353,-94909.06088460218,-44977.5660011251,-49989.385901616326
-6692.156993407845,-6633.2154432792,-6751.255005747677,-6679.304740346043,-93519.7211527492,-90210.85831056337,-72333.41900508631,-106049.63970776078,-6913.573373982117,-7000.81223259118,-6847.4569138833185,-6888.472364958807,-93972.4780884359,-95074.75436624937,-45286.802385664276,-50030.44605618073
-6658.137638346868,-7168.383260772617,-6763.995500087202,-6951.347822111586,-93119.33435432128,-90506.99657285173,-72287.35205976391,-106458.05078244816,-6853.558940119618,-6823.294678127132,-7213.377322361151,-6811.91764019938,-93735.05785883163,-94827.07468594011,-44888.74016865971,-49986.99426495961
-6675.370833321909,-6666.765411706617,-6756.90999709487,-6703.154051679856,-93492.49672800265,-90230.48314219512,-72332.18965914127,-106081.31212965395,-6947.056287176167,-7024.125102058066,-6763.861389620471,-6905.280876789198,-94013.56059474476,-95152.31491950928,-45369.39208142663,-50032.27889922606
-6671.79455420906,-7122.450425916962,-6755.434781960819,-6920.234193829799,-93151.09618319228,-90480.50975567219,-72287.307356275,-106417.1694418394,-6820.791282748138,-6802.194631361322,-7287.719224419502,-6795.019721391168,-93697.99866652474,-94753.85037110453,-44813.90652822334,-49984.28970388052
-6660.350461047943,-6718.867328031937,-6764.57664544304,-6736.815778829548,-93455.07990778446,-90261.23914256562,-72331.51910680761,-106127.2449645096,-6975.912389267968,-7039.3466400321295,-6695.777976009605,-6917.41787402843,-94043.73544975942,-95216.55383307383,-45433.42982929109,-50031.27307072557
-6685.585580537985,-7062.190122865453,-6747.388153956909,-6882.772670122704,-93194.45856743558,-90446.31158665557,-72289.14019932035,-106366.07335401456,-6794.304465568598,-6790.594075989017,-7344.649117547169,-6784.313235797076,-93673.76937553518,-94696.83107099905,-44760.55291420852,-49985.831974247936
-6645.330088773977,-6783.1509450854,-6771.0362995906235,-6775.171372314856,-93407.20247116119,-90297.67248602778,-72328.56867653951,-106181.26913085808,-6999.806404090692,-7047.125047102577,-6649.889844642859,-6926.716199721837,-94062.55561859079,-95265.01241505294,-45476.322826900825,-50030.40135269181
-6697.99079871068,-6991.402148175496,-6739.766209097649,-6840.594928335539,-93244.97350990456,-90406.14550186938,-72292.04592609954,-106307.55648703057,-6771.662148435373,-6784.648511963906,-7375.6286353622245,-6774.880799636937,-93659.57601780606,-94655.7932681791,-44728.18758823724,-49985.116718425365
-6633.573071190485,-6857.001108765735,-6777.764174671671,-6817.572631546573,-93354.29589203547,-90339.49259990366,-72325.52883929359,-106241.50708216515,-7017.173709532465,-7046.789770935747,-6629.102722299424,-6931.007734657256,-94068.47883087145,-95293.93557237812,-45494.80771956536,-50027.85325382391
-6710.843051772482,-6917.060246117145,-6735.675839862328,-6799.624180748961,-93302.88687978828,-90365.75589963865,-72298.43852501376,-106248.32436422401,-6760.57568318554,-6791.3987387894085,-7385.083423266819,-6775.283131037132,-93662.9064277299,-94639.87882612692,-44725.415971924784,-49990.771709772554
-6623.626544907874,-6933.533481780706,-6782.39098577392,-6859.303338444632,-93297.90244077473,-90382.05032134657,-72320.83497295796,-106302.4379375503,-7025.130930558555,-7037.312631286697,-6633.751885146128,-6930.650106745971,-94060.07457495625,-95300.46228175906,-45486.38111190571,-50024.90282355581
-6718.420293142831,-6839.857320768514,-6730.646697359884,-6757.62525291744,-93358.67683394872,-90322.86290202891,-72303.37826053837,-106187.70643326122,-6756.597072672495,-6805.0780063960565,-7366.799696302378,-6778.702947938794,-93678.23972442624,-94644.77385816263,-44746.91835009079,-49995.17500343025
-6616.764559360095,-7008.277715239253,-6785.1178985974675,-6898.195373796866,-93242.4030592922,-90423.2445863777,-72315.3140920775,-106360.32895568955,-7023.231032279853,-7018.939497344434,-6663.189132593767,-6923.743417709282,-94037.56636828976,-95283.56436295086,-45451.355928344245,-50019.717218842175
-6724.3658571679425,-6768.845828634004,-6729.149130481378,-6721.61659259994,-93413.1927386752,-90284.57436377698,-72310.48611527517,-106133.7493221461,-6762.252064019688,-6826.78155026216,-7324.465492304027,-6787.755404443194,-93706.4699776733,-94671.95357942028,-44793.40997855783,-50001.14291919982
-6616.272820982078,-7078.909227718023,-6788.627122476951,-6934.472255047829,-93194.30210522439,-90462.87422929695,-72312.29660657604,-106414.19665982685,-7015.0055903203,-6996.185421488932,-6718.844976287482,-6915.115644349533,-94005.96100162996,-95248.15919973365,-45395.52127069489,-50016.47621589616
-6727.942136280792,-6708.630229071407,-6731.004325271168,-6693.654560286351,-93462.34422473243,-90252.99134886163,-72319.04683340155,-106089.87284778034,-6779.552314228095,-6857.381088421475,-7263.5122851744045,-6803.714549984283,-93748.44655376037,-94722.20030095581,-44864.041491036594,-50010.3071344265
-6615.69167562624,-7134.408609200551,-6786.816631176071,-6959.707374537871,-93151.07383144782,-90492.69145640034,-72305.65813847282,-106454.27333763521,-6996.09601451111,-6966.010566474268,-6791.86812542297,-6900.005865097745,-93962.66567262003,-95191.7657484729,-45318.251290112894,-50010.57535535996
-6724.701133334772,-6659.054059869535,-6731.876043304926,-6671.414574553321,-93498.82227168349,-90226.28101423752,-72324.29949334855,-106054.7359054966,-6801.211154605288,-6888.807641125637,-7181.727252212436,-6819.58428854755,-93794.82642350513,-94785.7239586978,-44948.352271122014,-50015.62684960686
-6621.0560942955135,-7176.496944009894,-6785.184953830833,-6977.521714868751,-93121.18954911108,-90516.27254680068,-72301.67952795977,-106483.46471589383,-6970.637377576516,-6932.974688169324,-6880.224571254799,-6882.683263144882,-93913.29066911826,-95120.82131157177,-45227.25733843534,-50005.47915762415
-6719.694342576783,-6628.320411243488,-6736.614613129451,-6661.155123848334,-93524.61618478491,-90211.03712451902,-72330.69209226276,-106035.80397794295,-6831.251899153221,-6924.279859576209,-7090.107451690132,-6840.103189957523,-93848.31414798668,-94863.91036080246,-45045.96233915834,-50023.4052566773
-6627.962783332203,-7198.491060553916,-6780.1334595839335,-6982.841430049113,-93102.90582214664,-90527.7166399618,-72297.07506860197,-106495.9369892999,-6939.948432439379,-6898.821222641614,-6976.873514279547,-6862.611396624017,-93860.56290394819,-95039.72918268791,-45128.574386665154,-49999.66770406577
-6708.920801749326,-6614.551736659019,-6740.816741087048,-6659.903426158837,-93534.18273141178,-90204.17513897123,-72334.13426090888,-106030.35015229585,-6864.086611758067,-6957.80747625917,-6991.983293531334,-6858.766896577704,-93901.0195614123,-94947.61764378758,-45146.23226478485,-50026.60155613441
-6633.617774679396,-7196.322941341751,-6769.829305390037,-6973.3642904000635,-93095.64150519867,-90524.47563701578,-72289.67664118727,-106488.60561711856,-6903.246868043765,-6863.438411168863,-7072.561332292716,-6839.186768434855,-93805.62231607703,-94951.41744034499,-45025.93517612638,-49991.755186528586
-6693.743967264172,-6618.7091611277065,-6744.0353922886125,-6667.503019273641,-93526.98546969717,-90206.72323783913,-72333.97779869768,-106038.62029774432,-6894.730853406293,-6984.584866116627,-6890.372263237508,-6874.994263052257,-93947.69000383497,-95029.15680756055,-45239.90842579704,-50027.38386719035
-6649.375754520387,-7181.839010934712,-6766.029508832635,-6960.623796060539,-93111.04185712837,-90517.94892763483,-72291.2189115547,-106473.1829134444,-6868.132277504477,-6834.314088143598,-7166.304548538274,-6820.567765303585,-93757.32019630911,-94866.83843932611,-44931.67786975836,-49989.587067316425
-6680.824658969004,-6646.1794550632785,-6752.3055377370765,-6689.27361837311,-93509.72992297768,-90223.799970603,-72336.48119407668,-106066.02353644652,-6932.75117072477,-7014.5138519422835,-6804.563916273584,-6897.010731340734,-93996.46151023645,-95114.36165742418,-45332.936386220026,-50034.17879750476
-6662.362118048921,-7144.422190716528,-6757.513494195163,-6934.069923647634,-93136.29932836287,-90496.67006691339,-72290.23543479865,-106439.05179966115,-6833.934108487858,-6809.995390176224,-7248.380154178161,-6802.753424972704,-93715.54478592215,-94788.56263024363,-44848.84230480699,-49986.97191321515
-6668.173571607301,-6692.4922695746745,-6762.095601808501,-6720.856633288459,-93480.20326855223,-90251.73965117213,-72338.51520282212,-106107.75424334458,-6965.876456007535,-7035.591546963638,-6729.774979326127,-6913.394560026474,-94033.78892347681,-95187.42951004858,-45408.37352375669,-50036.503378928115
-6676.823696711504,-7091.917942991012,-6750.293880736099,-6900.877583131502,-93175.05725324836,-90467.76926133267,-72292.18003656626,-106394.16949679489,-6805.905020940902,-6795.265590580177,-7316.172995111107,-6790.683482966839,-93686.2640006857,-94724.88251029045,-44786.033902887575,-49988.08950043792
-6654.784876678572,-6752.663165648361,-6770.589264701518,-6758.452267462286,-93438.60667212089,-90286.49661380013,-72338.17992665528,-106159.27501431406,-6992.586790631627,-7047.415619780496,-6672.554513520541,-6924.7045427208595,-94058.73347028893,-95244.60527236525,-45462.554152316356,-50035.877530083366
-6693.94513296427,-7029.86950038308,-6746.561139412062,-6865.315957703109,-93226.57802421786,-90435.13571442792,-72298.72909769167,-106343.34162990352,-6785.877857908948,-6790.974055644758,-7365.12331546823,-6785.050843364102,-93671.48949760073,-94680.15666963538,-44747.70066114672,-49992.93982898472
-6639.988021849159,-6820.813634492592,-6775.730165926238,-6797.523116770162,-93386.32594183994,-90324.1145997184,-72333.5754672975,-106215.10967196342,-7013.642133908526,-7051.617747738093,-6639.272766026588,-6932.259432346754,-94071.69748207301,-95284.16786005115,-45493.6901323426,-50034.67053588278
-6704.94219123628,-6955.080563435622,-6739.140360252901,-6822.087683926545,-93279.55165857694,-90393.31560055204,-72301.76893493759,-106282.58958847399,-6767.52707571114,-6789.878820166447,-7383.943484299599,-6778.725299683249,-93664.38164286395,-94649.71359368725,-44728.29934695952,-49993.54332608501
-6629.192129277245,-6896.854269129547,-6781.474564251253,-6839.857320768514,-93331.22889175761,-90366.53821069458,-72329.66391201782,-106276.21934130423,-7025.041523580733,-7045.649831968526,-6630.086199055458,-6933.533481780706,-94069.37290064966,-95301.35635153728,-45497.55698413336,-50031.07190502548
-6715.514566363641,-6879.263446243221,-6735.0499910175795,-6780.714604939772,-93337.15210403825,-90352.05428028754,-72307.84860942943,-106222.70926507823,-6760.620386674451,-6800.875878438459,-7380.277798208928,-6780.915770639869,-93674.30581740211,-94644.46093374025,-44738.44703894223,-49998.72893079864
-6622.1736815182785,-6974.57128460065,-6786.637817220428,-6881.968007322313,-93276.19889690864,-90410.19116761579,-72325.90881894932,-106337.44076936731,-7029.489520727339,-7033.043448095733,-6648.593443464451,-6931.722990479826,-94055.53717083183,-95298.11534859125,-45477.17219319013,-50028.389695690836
-6720.096673976979,-6802.306390083599,-6729.61851711494,-6739.2744707196325,-93390.61747677535,-90308.89306174434,-72311.60370249793,-106162.65012772681,-6760.95566284128,-6817.997314691224,-7349.141818182686,-6786.2354858202325,-93695.62938161247,-94659.66011996986,-44772.108766091915,-50003.154576200795
-6613.098873269424,-7042.677049955971,-6784.715567197271,-6914.825071671614,-93218.7549136585,-90445.86455176647,-72316.34227232245,-106388.62626416997,-7019.922974100468,-7008.076549539155,-6687.261961372133,-6919.787158940692,-94023.99885940539,-95267.82873485431,-45426.99252688796,-50019.69486709772
-6722.465958889242,-6733.820645072537,-6727.428046158319,-6704.4057493693535,-93440.37245993287,-90271.18566884824,-72317.0128246561,-106110.88348756832,-6768.756421656182,-6840.594928335539,-7293.150698322142,-6794.639741735428,-93727.14534129445,-94694.57354480906,-44827.49638885217,-50006.59674484692
-6611.109568012902,-7104.725492563903,-6784.156773585889,-6944.262319119253,-93171.16804971315,-90479.63803763843,-72309.86026643042,-106434.51439553671,-7004.164994259477,-6979.4663166363625,-6750.182122013823,-6906.1302430785,-93984.36921648613,-95219.72778078649,-45357.92563652106,-50013.503433883605
-6722.600069355974,-6678.477725801197,-6728.724447336727,-6679.058871157035,-93483.19840230924,-90241.56960744497,-72323.8748102039,-106071.00797546006,-6788.045977121113,-6871.440335683863,-7220.574584075759,-6810.017741920679,-93771.17827787141,-94751.34697572554,-44905.280459556634,-50013.36932341687
-6614.842309336938,-7154.972214099434,-6783.799145674604,-6967.306967652675,-93135.71818300703,-90507.98004960777,-72305.92635940628,-106470.81362853214,-6982.372043415552,-6948.307984865664,-6832.458893353808,-6890.260504515231,-93938.43638163047,-95156.38293700015,-45273.793670391286,-50008.27312568106
-6715.42515938582,-6634.757713646617,-6728.389171169898,-6659.523446503097,-93511.38395206738,-90217.04974377749,-72326.55701953852,-106040.34138206737,-6813.124634399967,-6904.409158755441,-7132.396952199573,-6827.608564807006,-93820.66504009545,-94821.9784882043,-44996.20735600083,-50019.35959093089
-6616.742207615639,-7182.889542924112,-6776.266607793165,-6974.861857278569,-93107.3761710377,-90521.56991023659,-72297.34328953545,-106487.53273338471,-6949.224406388332,-6909.930039635902,-6921.105911863556,-6867.506428659729,-93882.35585479211,-95075.35786334967,-45173.389634298044,-49999.243020921116
-6706.573868581519,-6611.511899413097,-6731.652525860372,-6652.594405721951,-93528.1254086644,-90205.02450526053,-72330.46857481821,-106026.9750388831,-6842.338364403054,-6936.774484726726,-7034.317497529686,-6845.2887946711535,-93871.67172094247,-94901.12601532055,-45093.37038914805,-50023.13703574384
-6622.620716407385,-7192.143165128608,-6767.840000133515,-6972.157296199477,-93094.16629006462,-90525.19089283835,-72290.8165801545,-106489.45498340786,-6914.51214724924,-6874.435469440874,-7017.6207444215715,-6845.73582956026,-93827.7952465767,-94989.415405919,-45071.51038307076,-49992.55984932898
-6694.883906231393,-6607.935620300248,-6736.659316618361,-6656.975347635192,-93530.53939706557,-90203.99632501559,-72333.48606031967,-106029.65724821774,-6873.943731062857,-6966.725822296838,-6933.399371313974,-6861.918492545902,-93921.35964886662,-94983.78276631628,-45190.91340195101,-50023.96405028868
-6634.444789224242,-7184.476516780439,-6761.715622152761,-6961.719031538848,-93099.44130175607,-90521.2122823253,-72288.84962664242,-106478.70379432486,-6880.135164276978,-6843.902986514925,-7114.940239779979,-6826.2674601396875,-93777.68263550791,-94904.16585256647,-44974.14618422344,-49989.0506254495
-6681.092879902468,-6624.498262941631,-6742.850749832482,-6672.196885609256,-93518.53651029308,-90214.3451826984,-72335.00597894263,-106048.16449262673,-6909.035969857689,-6995.917200555468,-6839.499692857229,-6881.699786388849,-93969.79587910126,-95068.16060163506,-45285.4389292525,-50028.456750924204
-6647.811132408516,-7157.006222844866,-6754.406601715876,-6940.864853962047,-93118.99907815446,-90506.16955830688,-72288.15672256431,-106452.55225331215,-6845.355849904519,-6816.96913444628,-7203.587258289726,-6807.648457008417,-93732.44270473036,-94822.15730215995,-44885.096834313495,-49986.32371262595
-6666.787763451071,-6660.439868025765,-6750.360935969465,-6697.700226032762,-93493.05552161402,-90235.64639516431,-72335.78828999857,-106081.64740582078,-6943.0776766631225,-7019.587697933638,-6756.597072672495,-6899.000036597256,-94011.48188251042,-95145.96702408398,-45368.49801164842,-50031.00484979211
-6662.339766304465,-7112.146271723065,-6747.209340001266,-6911.449958258862,-93152.10201169277,-90481.64969463942,-72289.45312374271,-106413.369645282,-6813.862241966992,-6797.165488858877,-7279.091451059753,-6792.315160312076,-93696.59050662405,-94750.54231292514,-44811.559595055536,-49985.36258761437
-6650.560396976519,-6711.401845383864,-6756.552369183585,-6729.61851711494,-93454.14113451734,-90264.12251760036,-72333.62017078641,-106125.7473976311,-6972.269054921753,-7035.166863818988,-6689.251266628656,-6911.6734757034155,-94041.99201369191,-95210.83178649328,-45432.8710356797,-50030.53546315855
